oldest_review,category_african,category_bagels,category_bakeries,category_bars,category_bbq,category_beerbar,category_breakfast_brunch,category_bubbletea,category_buffets,category_burgers,category_cafes,category_cafeteria,category_candy,category_caribbean,category_chicken_wings,category_chickenshop,category_chinese,category_cocktailbars,category_coffee,category_convenience,category_creperies,category_cuban,category_cupcakes,category_customcakes,category_delis,category_desserts,category_diners,category_divebars,category_dog_parks,category_dominican,category_donuts,category_falafel,category_fishnchips,category_foodstands,category_foodtrucks,category_french,category_gastropubs,category_gaybars,category_gelato,category_gourmet,category_greek,category_grocery,category_halal,category_hookah_bars,category_hotdogs,category_icecream,category_indpak,category_irish_pubs,category_italian,category_japanese,category_juicebars,category_kosher,category_landmarks,category_latin,category_localflavor,category_mediterranean,category_mexican,category_mideastern,category_modern_european,category_moroccan,category_museums,category_newamerican,category_parks,category_peruvian,category_pizza,category_publicart,category_pubs,category_puertorican,category_restaurants,category_salad,category_sandwiches,category_seafood,category_soulfood,category_spanish,category_sportsbars,category_steak,category_streetvendors,category_sushi,category_tacos,category_tapas,category_tapasmallplates,category_tex-mex,category_thai,category_tobaccoshops,category_tradamerican,category_vegetarian,category_vietnamese,category_wine_bars
2013-02,0,0,10,2,1,0,1,0,0,7,3,1,0,2,3,0,21,1,5,1,0,1,0,1,5,2,2,1,0,0,4,0,1,5,0,3,1,0,0,1,0,1,0,0,7,2,3,0,5,2,1,1,1,9,0,1,20,3,0,0,2,1,4,0,18,1,1,2,5,0,4,3,0,3,2,1,1,1,0,1,1,0,1,0,4,1,0,0
2013-03,0,0,10,2,1,0,1,0,0,7,3,1,0,2,3,0,21,1,5,1,0,1,0,1,5,2,2,1,0,0,5,0,1,5,0,3,1,0,0,1,0,1,0,0,7,2,3,0,5,2,1,1,1,9,0,1,20,3,0,0,2,1,4,0,18,1,1,2,5,0,4,3,0,3,2,1,1,1,0,1,1,0,1,0,4,1,1,0
2013-04,0,0,10,2,1,0,1,0,0,7,3,1,0,2,3,0,21,1,5,1,0,1,0,1,5,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,7,2,3,0,5,2,1,1,1,9,0,1,20,3,0,0,2,1,4,0,18,1,1,2,5,0,4,3,0,3,2,1,1,1,0,1,1,0,1,0,4,1,1,0
2013-05,0,1,10,2,1,0,1,0,0,7,3,1,0,2,3,0,22,1,6,1,0,1,0,1,5,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,7,2,3,0,5,2,1,1,1,9,0,1,20,3,0,0,2,1,4,0,19,1,1,2,5,0,4,3,0,3,2,2,1,1,0,1,1,0,1,0,4,1,1,0
2013-06,0,1,10,2,1,0,1,0,0,7,3,1,0,2,3,0,23,1,6,1,0,1,0,1,5,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,3,0,6,2,1,1,2,9,0,1,20,3,0,0,2,1,4,0,19,1,1,2,5,0,4,3,0,3,2,2,1,1,0,1,1,0,1,0,4,1,1,0
2013-07,0,1,10,2,1,0,1,0,0,7,3,1,0,4,3,0,24,1,6,1,0,1,0,1,5,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,3,0,6,2,1,1,2,10,0,1,20,3,0,0,2,1,4,0,19,1,1,2,5,0,5,3,0,3,2,2,1,1,0,1,1,0,1,0,4,1,1,0
2013-08,0,1,10,2,1,0,1,0,0,7,3,1,0,4,3,0,24,1,6,1,0,1,0,1,6,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,3,0,6,2,2,1,2,10,0,1,20,3,0,0,2,1,4,0,19,1,1,2,5,0,5,3,0,3,2,2,2,1,0,1,1,0,1,0,4,1,1,0
2013-09,0,1,10,2,1,0,1,0,0,7,3,1,0,4,3,0,24,1,6,1,0,1,0,1,7,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,3,0,6,2,2,1,2,10,0,1,20,3,0,0,2,1,4,0,19,1,1,2,5,0,5,3,0,3,2,2,2,1,0,1,1,0,1,0,4,1,1,0
2013-10,0,1,10,2,1,0,1,0,0,7,3,1,0,4,3,0,24,1,6,1,0,1,0,1,7,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,5,0,6,2,2,1,2,10,0,1,20,3,0,0,2,1,4,0,19,1,1,2,6,0,5,3,1,3,2,2,2,1,0,1,1,0,1,0,4,1,1,0
2013-11,0,1,10,2,1,0,1,0,0,7,3,1,0,4,3,0,25,1,6,1,1,1,0,1,8,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,5,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,19,1,1,2,6,0,5,3,1,3,2,2,2,1,0,1,1,0,1,0,4,1,1,0
2013-12,0,1,12,2,1,0,1,0,0,7,3,1,0,4,3,0,25,1,6,1,1,1,0,1,8,2,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,19,1,1,2,6,0,5,3,1,3,2,2,2,1,0,1,1,0,1,0,4,1,1,1
2014-01,0,1,12,2,1,0,1,0,0,7,3,1,0,4,3,0,26,1,6,1,1,1,0,1,9,3,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,0,8,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,19,1,1,2,6,0,5,3,1,3,2,2,2,1,0,1,1,0,1,0,4,1,1,1
2014-02,0,1,13,2,1,0,1,0,0,7,3,1,0,4,3,0,26,1,6,1,1,1,0,1,9,3,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,1,8,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,19,1,1,2,6,0,5,3,1,3,2,2,2,1,0,1,1,0,1,0,4,1,1,1
2014-03,0,1,13,2,1,0,1,0,0,7,3,1,0,4,3,0,26,1,6,1,1,1,0,1,9,3,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,1,8,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,19,1,1,2,7,0,5,3,1,3,2,2,2,1,0,1,1,0,1,0,4,1,1,2
2014-04,0,1,14,2,1,0,1,0,0,7,3,1,0,4,3,0,26,1,6,1,1,1,0,1,9,3,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,1,9,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,19,1,1,2,7,0,5,3,1,4,2,2,2,1,0,1,1,0,1,0,4,1,1,2
2014-05,0,1,14,2,1,0,1,0,0,7,3,1,0,4,3,0,27,1,6,1,1,1,0,1,9,3,2,1,1,0,5,0,1,5,0,3,1,0,0,1,0,1,1,1,9,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,19,1,1,2,7,0,5,3,1,4,2,2,2,1,0,1,1,0,1,0,4,1,1,2
2014-06,0,1,14,2,1,0,1,0,0,8,3,1,0,4,3,0,27,1,6,1,1,1,0,1,9,3,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,1,1,1,9,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,20,1,1,2,7,0,5,3,1,4,2,2,2,1,0,1,1,0,1,0,4,1,1,2
2014-07,0,1,14,2,1,0,1,0,0,8,3,1,0,4,3,0,28,1,6,1,1,1,0,1,9,3,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,1,1,1,9,2,6,0,6,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,20,1,1,2,7,0,5,3,1,4,2,2,2,1,0,1,1,0,1,0,4,1,1,2
2014-08,0,1,14,2,1,0,1,0,0,8,3,1,0,4,3,0,28,1,6,1,1,1,0,1,9,3,2,1,1,0,6,0,1,5,0,3,1,0,0,1,0,1,1,1,9,2,6,0,7,2,2,1,2,10,0,1,21,3,0,0,2,1,4,0,20,1,1,2,7,0,5,3,1,4,2,2,2,1,0,1,1,0,1,0,4,1,1,2
