,neighborhood,zipcodes,gentrification_label,coffee,cafe,avg_rating,avg_price,starbucks_count,bars,"%, Less than 9th grade","%, 9th to 12th grade, no diploma",% High school graduate (includes equivalency),"% Some college, no degree",% A Associate's degree,% Bachelor's degree,% Graduate or professional degree,% high school graduate or higher,% bachelor's degree or higher,% White,% African American,% American Indian and Alaska Native,% American Indian and Alaska Native - Cherokee tribal grouping,% American Indian and Alaska Native - Chippewa tribal grouping,% American Indian and Alaska Native - Navajo tribal grouping,% American Indian and Alaska Native - Sioux tribal grouping,% Asian,% Asian Indian,% Chinese,% Filipino,% Japanese,% Korean,% Vietnamese,% Other Asian,% Native Hawaiian and Other Pacific Islander,% Native Hawaiian and Other Pacific Islander - Native Hawaiian,% Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,% Native Hawaiian and Other Pacific Islander - Samoan,% Native Hawaiian and Other Pacific Islander - Other Pacific Islander,% Some other race,median_household_income_$,mean_household_income_$
10,Hunts Point and Mott Haven,10455,Gentrifying,1.0,,3.7291666666666665,1.5,,,22.4,19.4,27.4,16.3,4.6,7.6,2.3,58.2,9.9,9.3,28.4,0.8,0.3,0.0,0.0,0.0,1.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1,57.9,23962,35232
11,Hunts Point and Mott Haven,10459,Gentrifying,4.0,,3.6540750915750917,1.2546296296296298,,,20.8,16.3,28.3,17.0,6.7,8.1,2.8,62.9,10.9,11.7,32.8,0.6,0.0,0.1,0.0,0.0,1.0,0.4,0.2,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,51.3,24805,36940
12,Hunts Point and Mott Haven,10474,Gentrifying,2.0,2.0,4.144736842105263,1.1071428571428572,,,20.7,17.6,24.4,16.5,9.9,8.5,2.3,61.6,10.8,12.3,33.0,0.3,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,50.3,26901,38389
13,Kingsbridge and Riverdale,10463,Higher-Income,2.0,2.0,3.055263157894737,1.507936507936508,1.0,,9.5,9.5,20.4,16.5,5.1,21.0,18.0,81.1,39.0,43.1,15.4,0.7,0.3,0.0,0.0,0.0,4.2,0.7,1.2,0.4,0.1,1.1,0.0,0.8,0.1,0.0,0.0,0.0,0.1,31.1,56568,79457
14,Kingsbridge and Riverdale,10471,Higher-Income,,,,,,,4.0,4.4,15.4,14.7,4.8,26.0,30.7,91.6,56.7,70.8,7.9,0.2,0.0,0.0,0.0,0.0,7.2,0.9,1.7,1.3,0.6,0.7,0.0,1.9,0.0,0.0,0.0,0.0,0.0,11.1,81594,109107
15,Northeast Bronx,10466,Higher-Income,,,3.8333333333333335,1.4,,1.0,9.4,11.3,30.7,18.1,8.7,15.8,6.0,79.3,21.8,8.7,73.3,0.8,0.0,0.0,0.0,0.1,2.4,1.9,0.3,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.1,12.1,44354,60066
16,Northeast Bronx,10469,Higher-Income,2.0,1.0,3.356164383561644,1.4363636363636363,,,10.3,9.7,27.7,17.3,10.0,15.6,9.4,80.0,25.0,18.7,54.9,0.9,0.0,0.0,0.0,0.0,5.3,0.8,0.4,1.1,0.0,0.0,0.4,2.5,0.2,0.1,0.1,0.0,0.0,17.3,57124,71240
17,Northeast Bronx,10470,Higher-Income,,,,,,,9.2,7.5,31.2,14.7,6.1,18.6,12.7,83.3,31.3,46.7,35.2,0.0,0.0,0.0,0.0,0.0,3.6,2.5,0.0,0.5,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,12.8,58839,71292
18,Northeast Bronx,10475,Higher-Income,1.0,,2.797872340425532,1.5555555555555556,1.0,,7.4,7.0,27.9,24.0,8.4,15.1,10.1,85.6,25.3,15.8,61.5,0.3,0.0,0.0,0.0,0.0,1.3,0.6,0.1,0.1,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,16.5,46340,59127
19,Southeast Bronx,10461,Higher-Income,15.0,2.0,3.581740276862228,1.5240740740740741,1.0,2.0,9.0,10.4,29.1,18.5,6.5,16.1,10.4,80.6,26.5,47.7,8.9,0.4,0.1,0.0,0.0,0.0,11.1,3.0,2.2,1.6,0.1,0.4,0.8,3.1,0.0,0.0,0.0,0.0,0.0,27.7,55332,71657
20,Southeast Bronx,10462,Higher-Income,10.0,4.0,3.1867333922088115,1.4354256854256855,4.0,5.0,11.3,10.1,28.3,17.6,8.3,15.5,8.8,78.6,24.3,22.3,27.3,0.6,0.0,0.0,0.0,0.0,12.2,4.5,0.9,0.5,0.0,0.2,0.7,5.3,0.0,0.0,0.0,0.0,0.0,33.0,48315,59362
21,Southeast Bronx,10464,Higher-Income,,2.0,3.534090909090909,2.0,,1.0,1.3,5.5,30.1,16.9,9.3,19.6,17.3,93.2,36.9,75.9,1.6,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.2,3.9,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,17.0,76917,92724
22,Southeast Bronx,10465,Higher-Income,4.0,1.0,3.4827586206896552,1.7076923076923076,2.0,3.0,8.9,8.3,30.7,18.2,9.3,14.9,9.7,82.8,24.6,60.7,11.5,0.1,0.0,0.0,0.0,0.0,3.3,0.8,1.0,0.6,0.0,0.1,0.3,0.6,0.0,0.0,0.0,0.0,0.0,21.1,73068,86933
23,Southeast Bronx,10472,Non-Gentrifying,5.0,2.0,3.5272321428571427,1.5542328042328042,,2.0,21.3,18.1,26.3,18.0,5.7,8.1,2.6,60.6,10.7,17.4,28.4,0.9,0.0,0.0,0.0,0.0,5.8,2.0,0.8,0.1,0.0,0.1,0.1,2.7,0.0,0.0,0.0,0.0,0.0,42.2,29934,41976
24,Southeast Bronx,10473,Non-Gentrifying,1.0,,2.7254901960784315,1.45,,1.0,11.6,13.9,29.6,19.3,9.0,11.6,5.1,74.5,16.6,35.6,39.7,0.4,0.0,0.0,0.0,0.0,2.1,0.8,0.2,0.1,0.1,0.2,0.3,0.4,0.0,0.0,0.0,0.0,0.0,19.0,36686,52289
25,Central Brooklyn,11212,Gentrifying,1.0,4.0,3.6290697674418606,1.4022435897435899,,1.0,10.0,15.0,36.1,18.6,7.0,9.3,3.9,75.0,13.2,5.6,83.8,0.3,0.0,0.0,0.0,0.0,1.5,0.6,0.6,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.1,28495,42138
26,Central Brooklyn,11213,Gentrifying,7.0,,3.732600732600732,1.5872235872235871,,3.0,7.7,10.5,30.9,19.4,6.6,15.1,9.9,81.9,25.0,20.7,68.3,0.3,0.0,0.0,0.0,0.0,2.1,0.8,0.7,0.1,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,5.9,37556,52377
27,Central Brooklyn,11216,Gentrifying,21.0,6.0,3.8903952205882355,1.5477692526285878,1.0,19.0,5.9,10.0,21.2,14.9,5.4,26.1,16.6,84.2,42.7,24.1,63.1,0.5,0.0,0.0,0.0,0.0,4.9,1.1,1.0,0.4,0.4,0.1,0.1,1.9,0.0,0.0,0.0,0.0,0.0,4.0,52239,73119
28,Central Brooklyn,11233,Gentrifying,14.0,10.0,4.004960317460318,1.4035407988238178,,10.0,9.5,14.3,31.8,15.6,6.8,15.1,6.8,76.1,21.9,6.7,80.4,0.2,0.0,0.0,0.0,0.0,1.6,0.3,0.6,0.2,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,9.0,35686,53718
29,Central Brooklyn,11238,Gentrifying,8.0,2.0,4.005813953488372,1.2560975609756098,,8.0,3.9,5.2,14.3,12.7,5.0,32.2,26.8,90.9,59.0,42.1,42.1,0.1,0.0,0.0,0.0,0.0,6.0,1.5,2.1,0.3,0.6,0.6,0.1,0.7,0.0,0.0,0.0,0.0,0.0,4.6,75757,100446
30,Southwest Brooklyn,11209,Higher-Income,32.0,10.0,3.8497961661896087,1.7401323213246387,5.0,8.0,6.1,6.1,18.7,14.3,6.5,28.0,20.2,87.8,48.3,75.6,2.1,0.2,0.0,0.0,0.0,0.0,12.8,1.1,8.3,0.5,0.4,0.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,6.4,65181,88531
31,Southwest Brooklyn,11214,Higher-Income,8.0,,4.01056338028169,1.695906432748538,2.0,2.0,14.8,10.2,27.8,10.7,7.1,20.2,9.3,75.0,29.5,52.5,1.3,0.2,0.0,0.0,0.0,0.0,36.5,0.6,31.0,0.3,0.0,0.3,0.6,3.7,0.0,0.0,0.0,0.0,0.0,8.1,52119,70142
32,Southwest Brooklyn,11228,Higher-Income,3.0,,4.0026709401709395,1.5978004713275726,,2.0,11.9,8.9,29.0,11.3,7.3,19.8,11.7,79.2,31.5,59.5,0.9,0.3,0.0,0.0,0.0,0.0,34.1,0.6,30.6,0.7,0.0,0.2,0.3,1.6,0.1,0.0,0.1,0.0,0.0,4.3,63641,88523
33,Borough Park,11204,Higher-Income,7.0,1.0,4.108148148148148,1.675,1.0,1.0,15.1,11.3,29.5,11.1,6.7,18.2,8.2,73.6,26.4,61.0,1.0,0.2,0.0,0.0,0.0,0.0,30.9,0.4,26.4,0.2,0.0,0.2,0.5,3.2,0.0,0.0,0.0,0.0,0.0,5.4,47135,67554
34,Borough Park,11218,Higher-Income,4.0,5.0,4.047789725209079,1.5998389694041868,,4.0,10.1,8.5,20.3,12.5,5.8,23.2,19.5,81.4,42.7,57.3,8.4,0.5,0.0,0.0,0.0,0.0,18.3,4.8,4.1,0.3,0.2,0.3,0.1,8.4,0.0,0.0,0.0,0.0,0.0,11.8,60821,81775
35,Borough Park,11219,Higher-Income,7.0,3.0,3.8448417102690136,1.8862255863937947,,,16.0,17.2,33.3,11.7,4.1,11.5,6.2,66.8,17.7,65.9,1.2,0.2,0.0,0.0,0.0,0.0,25.0,1.3,21.4,0.2,0.0,0.2,0.1,1.9,0.0,0.0,0.0,0.0,0.0,6.8,36573,54042
36,Borough Park,11230,Higher-Income,1.0,,3.6875,1.5416666666666665,,,9.5,8.1,22.6,12.5,8.2,22.2,16.9,82.4,39.1,69.4,7.5,0.4,0.0,0.0,0.0,0.0,14.3,2.3,3.0,0.1,0.2,0.2,0.0,8.5,0.0,0.0,0.0,0.0,0.0,6.6,43344,71266
37,Canarsie and Flatlands,11234,Higher-Income,,,4.1688311688311686,1.4375,,,5.1,6.0,28.6,17.8,8.7,20.3,13.4,88.8,33.7,42.7,46.8,0.1,0.0,0.0,0.0,0.0,5.5,0.6,2.5,0.6,0.0,0.2,0.1,1.5,0.0,0.0,0.0,0.0,0.0,3.5,75362,93442
38,Canarsie and Flatlands,11236,Higher-Income,2.0,,3.1280915466961976,1.3415032679738563,,,6.5,8.2,29.2,19.5,10.4,17.4,8.8,85.3,26.2,5.4,87.2,0.5,0.0,0.0,0.0,0.0,2.7,0.4,1.6,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.0,60885,75684
39,Canarsie and Flatlands,11239,Higher-Income,,,3.375,1.8,,,10.1,14.8,31.3,15.4,9.7,11.1,7.6,75.1,18.7,30.6,59.6,1.3,0.1,0.0,0.0,0.0,2.6,0.3,1.1,0.0,0.1,0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,3.4,24610,35611
40,Southern Brooklyn,11223,Non-Gentrifying,1.0,2.0,3.3290229885057467,1.5216049382716048,,,11.7,10.1,28.9,11.7,7.3,19.2,11.1,78.2,30.3,63.3,4.1,0.5,0.0,0.0,0.0,0.0,22.9,1.1,18.5,0.1,0.0,0.3,0.1,2.8,0.2,0.0,0.0,0.0,0.2,6.9,44647,68192
41,Southern Brooklyn,11224,Non-Gentrifying,,,,,,,9.5,9.9,24.8,12.7,8.9,20.6,13.6,80.5,34.2,59.1,22.1,0.2,0.0,0.0,0.0,0.1,7.0,0.1,6.0,0.1,0.0,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.0,8.8,31371,54258
42,Southern Brooklyn,11229,Higher-Income,2.0,,3.7439024390243905,1.2678571428571428,,2.0,8.4,7.1,26.7,12.4,7.6,23.1,14.7,84.5,37.8,68.2,5.2,0.0,0.0,0.0,0.0,0.0,20.2,0.7,15.6,0.6,0.0,0.4,0.7,2.1,0.2,0.1,0.0,0.0,0.1,4.1,55187,73608
43,Southern Brooklyn,11235,Higher-Income,6.0,4.0,3.757936507936508,1.6772727272727272,,1.0,6.8,4.9,23.0,11.3,8.9,27.9,17.1,88.3,45.0,77.6,2.8,0.4,0.0,0.0,0.0,0.0,14.1,2.1,6.3,1.0,0.0,0.6,0.2,3.9,0.0,0.0,0.0,0.0,0.0,3.0,45578,69630
44,Northwest Brooklyn,11201,Higher-Income,4.0,,3.978714285714285,1.9929078014184398,,1.0,3.2,3.9,10.7,8.4,3.1,34.5,36.3,92.9,70.8,64.2,13.7,0.0,0.0,0.0,0.0,0.0,11.3,2.0,5.9,0.7,0.6,0.9,0.3,0.9,0.2,0.0,0.0,0.0,0.1,5.5,109472,161739
45,Northwest Brooklyn,11205,Higher-Income,2.0,1.0,3.3993006993006993,1.890909090909091,,1.0,8.1,10.7,21.4,13.8,4.0,23.6,18.4,81.3,42.0,47.4,31.8,0.1,0.0,0.0,0.0,0.0,7.7,0.9,4.8,0.2,0.4,1.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,9.5,47437,76078
46,Northwest Brooklyn,11215,Higher-Income,32.0,9.0,4.231111987381704,1.357330068627789,2.0,17.0,3.7,3.8,7.8,8.2,3.2,35.5,37.9,92.6,73.4,75.6,4.6,0.2,0.0,0.0,0.0,0.0,7.6,1.4,2.9,0.6,0.9,1.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,6.4,108178,152435
47,Northwest Brooklyn,11217,Higher-Income,,,3.841666666666667,1.6916666666666667,,1.0,4.9,6.3,11.1,7.9,3.6,33.7,32.5,88.7,66.1,59.2,17.0,0.2,0.0,0.0,0.0,0.0,7.1,1.7,3.3,0.3,0.5,0.6,0.2,0.5,0.0,0.0,0.0,0.0,0.0,11.4,94970,140286
48,Northwest Brooklyn,11231,Higher-Income,,,4.024305555555555,1.6367521367521367,,2.0,6.2,7.3,14.1,10.0,2.3,31.6,28.5,86.4,60.0,66.9,13.0,0.4,0.0,0.0,0.0,0.0,5.0,1.0,2.1,0.3,0.6,0.5,0.1,0.3,0.0,0.0,0.0,0.0,0.0,9.6,84223,132314
49,Flatbush,11203,Higher-Income,2.0,2.0,3.352477477477477,1.4369259032455604,,,7.3,6.8,36.2,19.9,8.0,14.6,7.2,85.9,21.8,4.6,89.2,0.1,0.0,0.0,0.0,0.0,1.7,0.5,0.4,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.0,46971,60740
50,Flatbush,11210,Higher-Income,7.0,2.0,3.6313131313131315,1.7337662337662336,3.0,,5.7,5.4,30.3,17.5,6.6,21.7,13.0,89.0,34.7,29.6,60.3,0.1,0.0,0.0,0.0,0.0,4.0,0.6,0.7,0.3,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,4.1,59520,79990
51,Flatbush,11225,Higher-Income,9.0,9.0,4.217534722222222,1.876984126984127,,3.0,5.9,9.8,25.1,18.5,7.3,19.3,14.2,84.3,33.5,22.9,68.1,0.3,0.0,0.0,0.0,0.0,2.5,0.5,0.5,0.3,0.3,0.5,0.0,0.3,0.1,0.1,0.0,0.0,0.0,4.3,48597,67083
52,Flatbush,11226,Higher-Income,3.0,3.0,4.2424626655395885,1.4185792349726776,,1.0,9.1,9.8,32.5,16.9,5.8,17.3,8.6,81.1,25.9,12.6,70.3,0.2,0.0,0.0,0.0,0.0,3.2,0.6,0.7,0.1,0.2,0.1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,10.4,45031,62046
53,East New York and New Lots,11207,Non-Gentrifying,8.0,2.0,3.296788641128264,1.2541771094402672,,4.0,12.5,13.1,35.4,16.7,8.2,9.6,4.5,74.4,14.1,13.6,66.2,0.4,0.0,0.0,0.0,0.0,1.3,0.3,0.4,0.1,0.0,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.1,16.0,35849,50551
54,East New York and New Lots,11208,Non-Gentrifying,4.0,2.0,3.3532828282828278,1.1777215189873418,,3.0,11.8,10.3,44.8,13.7,5.3,10.3,3.8,77.9,14.1,25.6,53.3,0.3,0.1,0.0,0.0,0.0,6.2,3.0,1.6,0.0,0.0,0.0,0.1,1.5,0.1,0.0,0.0,0.0,0.1,12.3,37640,51662
55,Greenpoint,11222,Gentrifying,32.0,8.0,4.077421090836275,1.6971318758875198,2.0,39.0,4.6,4.8,17.1,13.0,4.7,35.2,20.7,90.7,55.8,82.0,3.0,0.4,0.0,0.0,0.0,0.0,6.0,0.9,2.1,0.5,0.4,0.8,0.1,1.1,0.0,0.0,0.0,0.0,0.0,4.8,73391,89022
56,Sunset Park,11220,Gentrifying,36.0,9.0,3.719983252992962,1.4189997528219493,,4.0,24.3,24.5,20.4,8.2,4.0,12.3,6.3,51.2,18.6,26.2,2.5,0.5,0.1,0.0,0.0,0.0,41.2,1.1,37.9,0.4,0.1,0.3,0.2,1.2,0.0,0.0,0.0,0.0,0.0,27.0,40576,57349
57,Sunset Park,11232,Gentrifying,10.0,1.0,4.096600331674958,1.5012585400934917,,2.0,19.7,16.9,23.1,11.3,4.1,13.5,11.4,63.4,25.0,36.8,5.1,1.2,0.0,0.0,0.0,0.0,20.0,1.5,15.5,0.3,0.1,0.3,0.6,1.7,0.1,0.0,0.0,0.0,0.1,31.6,47785,65712
58,Williamsburg,11206,Gentrifying,22.0,8.0,4.563975453758873,1.6786517713928213,1.0,27.0,14.3,14.9,26.0,15.7,4.4,19.0,5.8,70.8,24.7,46.0,26.1,0.7,0.0,0.0,0.0,0.0,6.8,0.3,5.4,0.1,0.2,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,16.4,31549,52454
59,Williamsburg,11237,Gentrifying,29.0,11.0,4.327747407972428,1.5804417774593318,1.0,43.0,22.9,17.7,20.3,12.0,3.6,17.8,5.8,59.4,23.6,52.4,18.2,0.7,0.0,0.0,0.0,0.0,7.4,0.7,3.3,1.2,0.6,0.7,0.3,0.8,0.0,0.0,0.0,0.0,0.0,18.2,46351,63128
60,Williamsburg,11211,Gentrifying,38.0,6.0,4.286733038348083,1.2111970914171404,1.0,51.0,7.7,9.2,19.8,13.6,3.4,30.8,15.4,83.1,46.3,77.0,6.4,0.3,0.0,0.0,0.0,0.0,5.3,0.8,1.9,0.5,0.4,0.7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,8.5,59190,91296
61,Bushwick,11221,Gentrifying,22.0,9.0,4.027819910189313,1.6052365390600685,,22.0,12.3,14.2,26.2,15.9,6.0,17.2,8.3,73.6,25.5,28.5,55.0,0.9,0.1,0.0,0.0,0.0,3.7,1.0,1.2,0.2,0.1,0.3,0.1,0.8,0.0,0.0,0.0,0.0,0.0,9.2,43361,59842
62,Central Harlem,10026,Gentrifying,16.0,2.0,3.6676284437825766,1.7665784557907847,2.0,2.0,5.9,11.5,20.9,14.5,4.8,22.0,20.4,82.6,42.4,26.0,55.3,0.2,0.0,0.0,0.0,0.0,5.4,0.8,2.9,0.4,0.3,0.5,0.0,0.4,0.1,0.0,0.1,0.0,0.0,9.6,52082,88932
63,Central Harlem,10027,Gentrifying,27.0,6.0,3.0538381444779548,1.4785964912280702,7.0,8.0,7.9,9.6,20.3,11.6,4.2,21.4,25.0,82.5,46.3,30.0,41.4,0.5,0.0,0.0,0.0,0.0,9.7,2.1,5.3,0.2,0.4,0.8,0.1,0.7,0.0,0.0,0.0,0.0,0.0,14.8,42754,73563
64,Central Harlem,10030,Gentrifying,7.0,2.0,3.7679245283018865,1.4672868217054262,,3.0,8.8,14.5,25.9,16.7,6.1,17.9,10.0,76.6,27.9,15.9,65.3,0.4,0.0,0.0,0.0,0.0,2.3,0.7,0.4,0.1,0.3,0.1,0.0,0.8,0.2,0.0,0.0,0.0,0.2,9.9,33720,57119
65,Central Harlem,10037,Gentrifying,1.0,,3.4318181818181817,1.1583333333333332,,,5.1,9.5,22.0,19.5,6.7,21.7,15.5,85.4,37.2,10.7,74.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,1.0,0.1,0.0,0.1,0.1,0.7,0.1,0.1,0.0,0.0,0.0,6.9,39463,54929
66,Central Harlem,10039,Gentrifying,2.0,2.0,3.5565217391304347,1.2545454545454544,2.0,2.0,7.5,12.8,26.0,16.4,9.3,17.5,10.5,79.7,28.0,11.9,65.5,1.0,0.3,0.0,0.0,0.0,1.4,0.3,0.3,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,32257,51355
67,Chelsea and Clinton,10001,Higher-Income,36.0,13.0,3.7880943105539857,1.5551155153629082,,9.0,3.8,3.3,13.5,9.3,2.2,36.0,31.9,92.9,67.9,63.5,9.6,0.1,0.0,0.0,0.0,0.0,21.4,2.6,10.0,0.7,1.1,4.7,0.3,2.1,0.0,0.0,0.0,0.0,0.0,2.7,85168,162724
68,Chelsea and Clinton,10011,Higher-Income,45.0,12.0,3.4609519445239427,2.3091374865767196,,21.0,2.3,2.8,6.5,7.6,3.1,39.6,38.0,94.9,77.6,79.4,4.6,0.1,0.0,0.0,0.0,0.0,10.1,1.8,3.7,1.1,0.7,1.6,0.3,1.0,0.0,0.0,0.0,0.0,0.0,2.8,114134,194277
69,Chelsea and Clinton,10018,Higher-Income,24.0,8.0,4.468954037800687,1.2022769690182904,,14.0,4.0,2.4,8.4,10.3,2.8,40.1,32.0,93.6,72.2,59.1,5.5,0.0,0.0,0.0,0.0,0.0,29.3,5.3,8.2,0.7,1.6,10.4,0.3,2.9,0.0,0.0,0.0,0.0,0.0,2.1,105479,149153
70,Chelsea and Clinton,10019,Higher-Income,36.0,20.0,3.977611365735551,1.9358708318045075,7.0,16.0,3.0,2.5,9.6,8.5,4.7,38.2,33.5,94.5,71.7,69.8,6.5,0.5,0.0,0.0,0.0,0.0,16.1,3.2,7.0,1.2,1.7,1.7,0.2,1.1,0.1,0.0,0.0,0.0,0.1,3.7,94477,146207
71,Chelsea and Clinton,10020,Higher-Income,5.0,2.0,3.8512173913043477,2.025258799171843,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
72,Chelsea and Clinton,10036,Higher-Income,29.0,3.0,4.054505235176766,3.362611773472429,4.0,13.0,1.6,3.0,7.1,10.0,3.3,44.7,30.3,95.4,75.0,64.2,7.5,0.5,0.0,0.0,0.0,0.0,19.3,3.1,8.0,2.0,1.5,3.3,0.2,1.1,0.0,0.0,0.0,0.0,0.0,6.6,83812,121970
73,East Harlem,10029,Gentrifying,22.0,12.0,3.7611225556053145,1.2296431915462813,3.0,7.0,10.2,13.6,24.5,12.2,5.1,20.6,13.8,76.2,34.4,34.7,28.9,0.2,0.0,0.0,0.0,0.0,8.7,0.9,4.1,0.8,0.6,1.1,0.1,1.2,0.2,0.0,0.0,0.0,0.1,24.7,32500,63840
74,East Harlem,10035,Gentrifying,3.0,1.0,3.6776556776556775,1.4298611111111112,1.0,,13.6,18.2,23.1,15.3,5.2,14.5,10.1,68.2,24.6,21.9,41.9,0.8,0.0,0.0,0.0,0.0,5.5,0.7,1.6,1.1,0.6,0.4,0.0,1.1,0.1,0.1,0.0,0.0,0.0,25.7,26893,47836
75,Gramercy Park and Murray Hill,10010,Higher-Income,28.0,4.0,4.445559811462133,2.120969089390142,1.0,8.0,1.7,1.7,6.0,7.9,5.2,40.1,37.5,96.6,77.6,74.1,5.7,0.7,0.4,0.0,0.0,0.0,15.1,3.5,5.2,1.0,0.9,3.3,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.6,110142,163333
76,Gramercy Park and Murray Hill,10016,Higher-Income,26.0,3.0,3.923714916430148,1.8871294681778552,1.0,11.0,2.1,2.4,6.9,8.4,2.9,44.4,32.9,95.6,77.3,72.6,3.0,0.1,0.0,0.0,0.0,0.0,19.6,3.4,8.6,0.9,2.5,3.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.8,102703,148391
77,Gramercy Park and Murray Hill,10017,Higher-Income,22.0,10.0,4.357579326548471,1.5945387174833636,,6.0,0.7,1.4,5.4,9.6,2.4,43.6,36.9,97.9,80.5,72.4,3.0,0.0,0.0,0.0,0.0,0.0,22.6,2.7,9.4,1.5,3.8,1.1,0.6,3.5,0.0,0.0,0.0,0.0,0.0,0.4,106795,163683
78,Gramercy Park and Murray Hill,10022,Higher-Income,45.0,19.0,4.014056422164007,2.270458342826764,15.0,10.0,0.7,1.3,4.5,9.6,2.5,42.4,38.9,98.0,81.3,85.2,2.0,0.2,0.0,0.0,0.0,0.0,10.5,1.7,4.1,0.7,0.5,1.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.8,123693,224771
79,Greenwich Village and Soho,10012,Higher-Income,31.0,2.0,3.9048546564607256,1.402085124096509,,12.0,4.2,1.4,7.4,4.6,2.6,43.0,36.8,94.4,79.8,75.7,2.6,0.2,0.0,0.0,0.0,0.0,16.1,2.2,10.7,0.5,1.2,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,101815,149310
80,Greenwich Village and Soho,10013,Higher-Income,34.0,7.0,3.8932952647097316,2.0621345029239766,4.0,14.0,10.5,5.5,10.0,8.4,2.9,36.1,26.6,84.0,62.7,56.1,4.9,0.1,0.0,0.0,0.0,0.0,32.0,1.8,26.3,0.3,0.5,1.0,0.5,1.6,0.0,0.0,0.0,0.0,0.0,1.7,104167,246993
81,Greenwich Village and Soho,10014,Higher-Income,41.0,4.0,4.446353986398862,1.4383997785160576,2.0,26.0,0.1,1.0,5.5,6.9,2.4,49.2,34.8,98.9,84.0,88.9,1.3,0.4,0.0,0.0,0.0,0.0,5.6,1.2,2.2,0.3,0.4,0.6,0.4,0.5,0.0,0.0,0.0,0.0,0.0,1.8,119026,189369
82,Lower Manhattan,10004,Higher-Income,17.0,3.0,3.6527777777777772,1.9381294964028775,5.0,2.0,1.3,0.0,2.2,7.5,1.6,47.8,39.7,98.7,87.4,72.3,1.0,0.0,0.0,0.0,0.0,0.0,24.4,3.6,11.4,0.0,1.0,5.8,0.0,2.6,0.2,0.0,0.2,0.0,0.0,0.4,123056,173800
83,Lower Manhattan,10005,Gentrifying,24.0,2.0,4.670138888888889,1.0736301369863015,7.0,,0.5,0.9,3.5,3.4,3.4,46.8,41.5,98.6,88.3,73.8,2.8,0.0,0.0,0.0,0.0,0.0,18.7,5.2,7.5,0.0,2.2,2.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,2.4,130116,193229
84,Lower Manhattan,10006,Higher-Income,11.0,,4.366071428571429,1.7169811320754718,4.0,4.0,0.6,0.0,2.0,3.3,2.6,53.8,37.7,99.4,91.5,66.0,3.0,0.0,0.0,0.0,0.0,0.0,20.9,10.0,4.8,0.0,1.4,2.9,0.6,1.2,0.0,0.0,0.0,0.0,0.0,3.4,125364,174312
85,Lower Manhattan,10007,Higher-Income,24.0,4.0,3.3174603174603177,1.6896551724137931,7.0,3.0,2.3,4.4,7.8,6.9,0.9,34.9,42.7,93.2,77.6,71.1,5.8,0.0,0.0,0.0,0.0,0.0,15.8,2.3,7.6,0.9,1.3,2.8,0.1,0.8,0.0,0.0,0.0,0.0,0.0,1.6,234958,392959
