,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,oldest_review,latitude,longitude,zipcode
149,sweet-suga-mamas-new-york,548.0861635017735,hI0vaHUaIrHqOlsbE5QXaA,https://s3-media4.fl.yelpcdn.com/bphoto/RZsY5sExcjUP2KjfL8TqbA/o.jpg,False,"{'address1': '1580 Park Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1580 Park Ave', 'New York, NY 10029']}",sweet suga mama's,$$,3.5,30,[],https://www.yelp.com/biz/sweet-suga-mamas-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,12/29/2013,40.7974919,-73.9447724,10029
150,juicy-grill-new-york,458.83652317406614,DjDSQ9mo_hID9XdJEllCMw,https://s3-media3.fl.yelpcdn.com/bphoto/G3OLx8_NrsxBBOdiR85P_g/o.jpg,False,"{'address1': '1646 Madison Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1646 Madison Ave', 'New York, NY 10029']}",juicy grill,$$,4.0,16,"['delivery', 'pickup']",https://www.yelp.com/biz/juicy-grill-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,soulfood,5/15/2017,40.7960879802072,-73.9476888257781,10029
151,tastings-social-presents-gaudir-new-york,349.6960726419271,h_qGWauoScc3tMBDBb-few,https://s3-media3.fl.yelpcdn.com/bphoto/3MWn8sr3gIaLUUgyw7XcIA/o.jpg,False,"{'address1': '251 E 110th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['251 E 110th St', 'New York, NY 10029']}",tastings social presents gaudir,,5.0,8,[],https://www.yelp.com/biz/tastings-social-presents-gaudir-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,modern_european,12/11/2017,40.79359,-73.94093,10029
152,chickpea-new-york-7,841.8916863022324,RlLt4HBPEyAaCYiNGMWXIA,https://s3-media2.fl.yelpcdn.com/bphoto/_jQK0ygTztJkyQ1HXKfZpw/o.jpg,False,"{'address1': '1413 Madison Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1413 Madison Ave', 'New York, NY 10029']}",chickpea,$$,3.0,81,"['delivery', 'pickup']",https://www.yelp.com/biz/chickpea-new-york-7?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mideastern,5/12/2012,40.7884368896484,-73.953239440918,10029
153,indo-pak-halal-restaurant-new-york,395.2318823178576,IPObt34MFs_Icr83NE7RFQ,https://s3-media1.fl.yelpcdn.com/bphoto/W1br2FP-4Q7H_zqn4o2-uA/o.jpg,False,"{'address1': '2173 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['2173 2nd Ave', 'New York, NY 10029']}",indo pak halal restaurant,$,3.0,42,"['delivery', 'pickup']",https://www.yelp.com/biz/indo-pak-halal-restaurant-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,8/29/2006,40.7934736702072,-73.9403164386749,10029
154,paladar-new-york-2,613.1333341112899,v4vXsqJ7NgUDcHryKUjzEw,https://s3-media4.fl.yelpcdn.com/bphoto/8l8HusMSq7VwYejsycbO2w/o.jpg,False,"{'address1': '358 E 112th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['358 E 112th St', 'New York, NY 10029']}",paladar,,5.0,8,[],https://www.yelp.com/biz/paladar-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,buffets,1/31/2018,40.79352,-73.93768,10029
155,mexican-bakery-new-york,297.83700480521327,yloTMWe-7qXBoujcRkmKMQ,https://s3-media1.fl.yelpcdn.com/bphoto/OGDrw4jMxCfZkGBciPBMwA/o.jpg,False,"{'address1': '129 E 110th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['129 E 110th St', 'New York, NY 10029']}",mexican bakery,$,4.0,11,[],https://www.yelp.com/biz/mexican-bakery-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,10/21/2009,40.79524,-73.94483,10029
156,russ-and-daughters-at-the-jewish-museum-new-york-4,1314.3008199584485,Y-uvH0uctJjAiGfKfE_T1g,https://s3-media1.fl.yelpcdn.com/bphoto/NLEJfHE8EuBcw4CUrB-rgg/o.jpg,False,"{'address1': '1109 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10128', 'country': 'US', 'state': 'NY', 'display_address': ['1109 5th Ave', 'New York, NY 10128']}",russ & daughters at the jewish museum,$$,3.5,78,[],https://www.yelp.com/biz/russ-and-daughters-at-the-jewish-museum-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,kosher,12/2/2012,40.7854,-73.95719,10128
157,valencia-bakery-new-york-5,312.39613802818843,QELNZy3ik3x1MmgeXlkzXw,https://s3-media2.fl.yelpcdn.com/bphoto/V9eoN_D0XI7G2MZV_16FLA/o.jpg,False,"{'address1': '159 E 103rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['159 E 103rd St', 'New York, NY 10029']}",valencia bakery,$$,4.0,20,[],https://www.yelp.com/biz/valencia-bakery-new-york-5?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,5/4/2015,40.7901268,-73.9468994,10029
158,taqueria-guadalupe-new-york,128.72134622313698,bO8x1Xvtyj4_gUxtX-sjrA,https://s3-media1.fl.yelpcdn.com/bphoto/zo9S9BK22P2XFMvyM_gDVQ/o.jpg,False,"{'address1': '1743 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1743 Lexington Ave', 'New York, NY 10029']}",taqueria guadalupe,$$,2.5,44,"['delivery', 'pickup']",https://www.yelp.com/biz/taqueria-guadalupe-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,10/29/2011,40.793716,-73.944923,10029
