,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
142,doc-wine-bar-brooklyn-2,wine_bars,1165.5588195146242,x6_1vzeCH9YvbvIBmSr2iA,https://s3-media3.fl.yelpcdn.com/bphoto/2ZlCpStpzd-_TCseXFvyNw/o.jpg,False,"{'address1': '83 N 7th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['83 N 7th St', 'Brooklyn, NY 11249']}",doc wine bar,$$,4.0,197,"['delivery', 'pickup']",https://www.yelp.com/biz/doc-wine-bar-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/16/2005,40.71966,-73.96046,11249
143,northern-territory-brooklyn,bars,572.1020710687385,unJelornHwKdx24Rl-rEMA,https://s3-media1.fl.yelpcdn.com/bphoto/wbYcObHYTdUOMQVOomvWGA/o.jpg,False,"{'address1': '12 Franklin St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['12 Franklin St', 'Brooklyn, NY 11222']}",northern territory,$$,3.0,251,"['delivery', 'pickup']",https://www.yelp.com/biz/northern-territory-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/22/2014,40.7258849410803,-73.9571600407362,11222
144,teddys-bar-and-grill-brooklyn,bars,1100.2216120933952,64SxMs06-IJSc2I-YsnDTQ,https://s3-media3.fl.yelpcdn.com/bphoto/ift_kt7Q4w-Y2wjSXoP8cA/o.jpg,False,"{'address1': '96 Berry St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['96 Berry St', 'Brooklyn, NY 11249']}",teddy's bar & grill,$$,3.5,315,"['delivery', 'pickup']",https://www.yelp.com/biz/teddys-bar-and-grill-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/19/2005,40.7193481,-73.9585056,11249
145,surf-bar-brooklyn,seafood,1257.804691337513,bO7oI7V8MYbRxenHQcWOqQ,https://s3-media1.fl.yelpcdn.com/bphoto/WCyaWu4G0l6g4e9kc0S3sw/o.jpg,False,"{'address1': '139 N 6th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['139 N 6th St', 'Brooklyn, NY 11249']}",surf bar,$$,3.0,523,"['delivery', 'pickup']",https://www.yelp.com/biz/surf-bar-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/9/2005,40.7177048496671,-73.9586651666596,11249
146,wasabi-restaurant-brooklyn,japanese,351.28187902621164,HsMExJ0PYZnFACK_T1iUBg,https://s3-media2.fl.yelpcdn.com/bphoto/jG97nC65MckUYO0ZP-_Iog/o.jpg,False,"{'address1': '638 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['638 Manhattan Ave', 'Brooklyn, NY 11222']}",wasabi restaurant,$$,3.5,125,"['delivery', 'pickup']",https://www.yelp.com/biz/wasabi-restaurant-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/18/2007,40.72412,-73.95084,11222
147,agra-taj-mahal-brooklyn,indpak,768.8722265443089,sQ_L8O9WMU4apxSTVa9JKg,https://s3-media2.fl.yelpcdn.com/bphoto/O9HvSgX3wCwXXdoa7eGrmw/o.jpg,False,"{'address1': '1005 Manhattan Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['1005 Manhattan Ave', 'Brooklyn, NY 11222']}",agra taj mahal,$$,3.5,134,"['delivery', 'pickup']",https://www.yelp.com/biz/agra-taj-mahal-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/28/2013,40.7332729,-73.9550299,11222
148,bellocq-tea-atelier-brooklyn-2,coffee,790.6147168543954,XllJRJV6egA6zDRZHNheJA,https://s3-media1.fl.yelpcdn.com/bphoto/jzd1n5j5qzZti2J0IktDSg/o.jpg,False,"{'address1': '104 West St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['104 West St', 'Brooklyn, NY 11222']}",bellocq tea atelier,$$,4.5,39,[],https://www.yelp.com/biz/bellocq-tea-atelier-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/20/2012,40.7301765,-73.9591417,11222
149,oasis-falafel-brooklyn,mideastern,194.82426696812652,F7l46BR0pwsfm4HPKxEyeA,https://s3-media3.fl.yelpcdn.com/bphoto/6ChzqwY41qkNLnP8qeJXOQ/o.jpg,False,"{'address1': '230 Calyer St', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['230 Calyer St', 'Brooklyn, NY 11222']}",oasis falafel,$,3.5,67,"['delivery', 'pickup']",https://www.yelp.com/biz/oasis-falafel-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/14/2014,40.728935,-73.950164,11222
150,charleston-brooklyn,bars,1172.1547749822093,6gPa-25RIcjTudX2s9Mrsg,https://s3-media2.fl.yelpcdn.com/bphoto/fkf1C4x4q551AirA1HWyXg/o.jpg,False,"{'address1': '174 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['174 Bedford Ave', 'Brooklyn, NY 11249']}",charleston,$,3.5,258,[],https://www.yelp.com/biz/charleston-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/24/2007,40.7181519,-73.9576854,11249
151,rolln-chill-brooklyn-4,icecream,1161.2612541148724,LKpSsxCUMip1PSLxP1KQyQ,https://s3-media1.fl.yelpcdn.com/bphoto/-6dndY0cSa2pHin9VFxPnw/o.jpg,False,"{'address1': '90 Kent Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['90 Kent Ave', 'Brooklyn, NY 11215']}",roll'n chill,$,4.5,57,[],https://www.yelp.com/biz/rolln-chill-brooklyn-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/2/2016,40.7213689,-73.9607664,11215
152,warsaw-at-the-polish-national-home-brooklyn-3,musicvenues,558.879512412659,vm1qHkSvmvIwyn_2ZkBD3g,https://s3-media1.fl.yelpcdn.com/bphoto/-tbjnxoNOHDJJwvb-5qGDA/o.jpg,False,"{'address1': '261 Driggs Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['261 Driggs Ave', 'Brooklyn, NY 11222']}",warsaw at the polish national home,$$,3.5,79,[],https://www.yelp.com/biz/warsaw-at-the-polish-national-home-brooklyn-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/13/2005,40.72255,-73.94832,11222
153,kimchee-market-greenpoint,korean,390.34867810737677,OMF0rN7FHM2KovR8hJVbKA,https://s3-media4.fl.yelpcdn.com/bphoto/-ji387ya37ooQuWLjBC9IA/o.jpg,False,"{'address1': '191 Greenpoint Ave', 'address2': '', 'address3': '', 'city': 'Greenpoint', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['191 Greenpoint Ave', 'Greenpoint, NY 11222']}",kimchee market,$,4.0,35,"['delivery', 'pickup']",https://www.yelp.com/biz/kimchee-market-greenpoint?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/12/2015,40.73063,-73.95195,11222
154,celsious-brooklyn,laundromat,1167.3068984789106,oGVRHKxsWeSnonI3-7it5w,https://s3-media2.fl.yelpcdn.com/bphoto/79C3D-oG2FkKRiCNYh0yqA/o.jpg,False,"{'address1': '115 North 7th St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['115 North 7th St', 'Brooklyn, NY 11211']}",celsious,$$,5.0,36,[],https://www.yelp.com/biz/celsious-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/28/2017,40.71905,-73.95923,11211
155,21-greenpoint-brooklyn-2,newamerican,834.3488058470851,f-WkzzSaAA_mdDmsKlJ4sw,https://s3-media3.fl.yelpcdn.com/bphoto/7QTYwb-GMwa8TTZlB5lZ0g/o.jpg,False,"{'address1': '21 Greenpoint Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['21 Greenpoint Ave', 'Brooklyn, NY 11222']}",21 greenpoint,$$$,4.0,77,"['delivery', 'pickup']",https://www.yelp.com/biz/21-greenpoint-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/22/2016,40.72978,-73.95992,11222
156,triangolo-pizza-brooklyn,pizza,805.4691816270094,zTHxVxp0gxcwdFDRFRN4cw,https://s3-media3.fl.yelpcdn.com/bphoto/nk1qFpHT3e3LYrM3pAfCMg/o.jpg,False,"{'address1': '1017 Manhattan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['1017 Manhattan Ave', 'Brooklyn, NY 11222']}",triangolo pizza,$,4.0,102,[],https://www.yelp.com/biz/triangolo-pizza-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/4/2006,40.73357,-73.955116,11222
157,the-bean-brooklyn-2,coffee,884.8853717457574,KicvWPq0LYweVg1M1cs1_A,https://s3-media1.fl.yelpcdn.com/bphoto/1g1obPWM9zyheF9VgCgxVA/o.jpg,False,"{'address1': '101 Bedford Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['101 Bedford Ave', 'Brooklyn, NY 11211']}",the bean,$,3.5,194,"['delivery', 'pickup']",https://www.yelp.com/biz/the-bean-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/29/2014,40.719995473149,-73.9549927154835,11211
158,pie-corps-brooklyn,desserts,857.1988777700013,cW5nAcFqaU3VqdPzk2YThw,https://s3-media1.fl.yelpcdn.com/bphoto/tqOOQp2drjqWaezgeii6aw/o.jpg,False,"{'address1': '77 Driggs Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['77 Driggs Ave', 'Brooklyn, NY 11222']}",pie corps,$$$,4.0,86,"['delivery', 'pickup']",https://www.yelp.com/biz/pie-corps-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/22/2012,40.72321,-73.94197,11222
159,antica-pesa-brooklyn-3,italian,1156.264308753084,-tQ9Zlb5d9PPlDz_6UgV7w,https://s3-media3.fl.yelpcdn.com/bphoto/5GT4J1ORD7QiKKF6iRoZAw/o.jpg,False,"{'address1': '115 Berry St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['115 Berry St', 'Brooklyn, NY 11249']}",antica pesa,$$$,3.5,327,[],https://www.yelp.com/biz/antica-pesa-brooklyn-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/21/2012,40.71884,-73.95865,11249
