,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,latitude,longitude,zipcode
580,albion-new-york-2,sportsbars,848.763861511056,F3-DYH9YMa3UEUaedhGocw,https://s3-media3.fl.yelpcdn.com/bphoto/toJ5ApMaQoEFHxtdhDeMKQ/o.jpg,False,"{'address1': '575 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['575 2nd Ave', 'New York, NY 10016']}",albion,$$,4.5,93,[],https://www.yelp.com/biz/albion-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.74336,-73.97733,10016
581,vamos-tacos-and-tequila-new-york,mexican,834.0093065223689,cqzTgTxWn-_NJBw6EGPKfw,https://s3-media4.fl.yelpcdn.com/bphoto/8lbqR60c-mJ1YgjyUK7VIA/o.jpg,False,"{'address1': '348 1st Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['348 1st Ave', 'New York, NY 10010']}",vamos! tacos & tequila,$$,3.5,396,"['delivery', 'pickup']",https://www.yelp.com/biz/vamos-tacos-and-tequila-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.7353709,-73.9791863,10010
582,anjappar-chettinad-restaurant-new-york-2,indpak,405.2888214298519,o5sUOmtzcHAeSWtUuFJ00g,https://s3-media1.fl.yelpcdn.com/bphoto/C6r83j4qnOvrxb5XiP3wNw/o.jpg,False,"{'address1': '116 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['116 Lexington Ave', 'New York, NY 10016']}",anjappar chettinad restaurant,$$,3.0,270,"['delivery', 'pickup']",https://www.yelp.com/biz/anjappar-chettinad-restaurant-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.742603,-73.982795,10016
583,scampi-new-york-2,italian,601.4666750912073,wOq-Jt26jnFf_rhF4r5D6w,https://s3-media3.fl.yelpcdn.com/bphoto/jmt1K_pSaFd68oMEwPayTg/o.jpg,False,"{'address1': '30 W 18th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['30 W 18th St', 'New York, NY 10011']}",scampi,$$$,4.0,99,[],https://www.yelp.com/biz/scampi-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.73902,-73.99358,10011
584,potbelly-sandwich-shop-new-york-4,sandwiches,509.1588066729971,NI0gvoYzOK0EjjoGOlYFzA,https://s3-media2.fl.yelpcdn.com/bphoto/K0srY_Hwzp2fgXCYQwVkbg/o.jpg,False,"{'address1': '22 E 17th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['22 E 17th St', 'New York, NY 10003']}",potbelly sandwich shop,$,3.5,136,"['delivery', 'pickup']",https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.737332,-73.991098,10003
585,the-storehouse-new-york-2,pubs,540.9422904368538,t152Go9WVYS5LmsSg1qFbA,https://s3-media1.fl.yelpcdn.com/bphoto/snOr3eY-POw-jlktqfy8Ig/o.jpg,False,"{'address1': '69 W 23rd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['69 W 23rd St', 'New York, NY 10010']}",the storehouse,$$,3.5,141,[],https://www.yelp.com/biz/the-storehouse-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.742732812605,-73.9921761190491,10010
586,brother-jimmys-bbq-new-york-4,bbq,671.6839023353884,hsml8TmJ3puTw1HnzZj-Rg,https://s3-media3.fl.yelpcdn.com/bphoto/VqpE8N93cKZImdotki6rhg/o.jpg,False,"{'address1': '181 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['181 Lexington Ave', 'New York, NY 10016']}",brother jimmy's bbq,$$,3.0,427,"['delivery', 'pickup']",https://www.yelp.com/biz/brother-jimmys-bbq-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.7445101402263,-73.980771217791,10016
587,café-m-new-york-2,bakeries,730.252044111038,d9b91ZUbwaD4FQmlfSecpQ,https://s3-media4.fl.yelpcdn.com/bphoto/_RsUstiUf4Ne5Ub19ByvlQ/o.jpg,False,"{'address1': '315 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['315 5th Ave', 'New York, NY 10016']}",café m,$$,3.5,152,[],https://www.yelp.com/biz/caf%C3%A9-m-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.7468183262652,-73.9849727619383,10016
588,murrays-bagels-new-york-4,bagels,1117.7100033988584,QUf4eik0ipJGkBtRHNMl5g,https://s3-media1.fl.yelpcdn.com/bphoto/E3OfckaSauHPjvphmHkxUg/o.jpg,False,"{'address1': '242 8th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['242 8th Ave', 'New York, NY 10011']}",murray's bagels,$,3.5,712,"['delivery', 'pickup']",https://www.yelp.com/biz/murrays-bagels-new-york-4?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.744758,-73.998535,10011
589,kati-thai-cuisine-new-york,thai,1005.8997609100502,1Fe4lCiMPNVhoEyjg92frA,https://s3-media1.fl.yelpcdn.com/bphoto/g4zbglmMP-nKjdwhCB4wFA/o.jpg,False,"{'address1': '347 E 14th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['347 E 14th St', 'New York, NY 10003']}",kati thai cuisine,$$,4.0,224,"['delivery', 'pickup']",https://www.yelp.com/biz/kati-thai-cuisine-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.7318077087402,-73.98291015625,10003
590,k-town-chicken-and-hof-new-york,korean,825.6839150561292,bWRGDbQHe6alt54Acdg5ZQ,https://s3-media4.fl.yelpcdn.com/bphoto/2tq-6QLOp346puC5LO8MEg/o.jpg,False,"{'address1': '34 W 32nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['34 W 32nd St', 'New York, NY 10001']}",k town chicken & hof,$$,3.5,297,"['delivery', 'pickup']",https://www.yelp.com/biz/k-town-chicken-and-hof-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.7477685727933,-73.9872914067459,10001
591,shanghai-mong-new-york,korean,807.4342499105153,v2dtG37r1ThqtfEfiFsAUg,https://s3-media2.fl.yelpcdn.com/bphoto/Pi9rDVeYi7OF0XHIdZ0SOA/o.jpg,False,"{'address1': '30 W 32nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['30 W 32nd St', 'New York, NY 10001']}",shanghai mong,$$,3.0,453,"['delivery', 'pickup']",https://www.yelp.com/biz/shanghai-mong-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.7476119995117,-73.9871597290039,10001
592,pioneers-new-york-2,lounges,878.2196325929674,4KqGAtsXe7FXDRvnRQCjVA,https://s3-media2.fl.yelpcdn.com/bphoto/n5FnDt97RJeQyzz1LGnD3Q/o.jpg,False,"{'address1': '138 W 29th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['138 W 29th St', 'New York, NY 10001']}",pioneers,$$,3.5,231,[],https://www.yelp.com/biz/pioneers-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,40.7472374,-73.9917016,10001
