,level_0,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
10,10,white-horse-tavern-financial-district-new-york,pubs,75.22714973842982,lHGQM__w1x5Dxiq3aRPCTQ,https://s3-media2.fl.yelpcdn.com/bphoto/YV-yxNcjo9RzuTdNZnY4Ow/o.jpg,False,"{'address1': '25 Bridge St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['25 Bridge St', 'New York, NY 10004']}",white horse tavern - financial district,$,4.0,290,[],https://www.yelp.com/biz/white-horse-tavern-financial-district-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/3/2007,40.70372,-74.01237,10004
11,11,national-museum-of-the-american-indian-new-york,museums,69.33578055554645,6XMOBvwSqA3U6p0p5kp8_Q,https://s3-media3.fl.yelpcdn.com/bphoto/WDy_jq0b_Gjmj1k47g0bbA/o.jpg,False,"{'address1': '1 Bowling Grn', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['1 Bowling Grn', 'New York, NY 10004']}",national museum of the american indian,,4.0,154,[],https://www.yelp.com/biz/national-museum-of-the-american-indian-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/22/2007,40.7045318111621,-74.0141518263168,10004
12,12,vintry-wine-and-whiskey-new-york,whiskeybars,260.680794006271,x-53zwkCxlSuI4nih4YZ1g,https://s3-media3.fl.yelpcdn.com/bphoto/WaiqSK0tH1lgVX2ECKCFhA/o.jpg,False,"{'address1': '57 Stone St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['57 Stone St', 'New York, NY 10004']}",vintry wine and whiskey,$$$,4.0,250,[],https://www.yelp.com/biz/vintry-wine-and-whiskey-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/25/2009,40.70445,-74.01027,10004
13,13,blacktail-new-york,cuban,357.07122017792017,kEC66zgpguVsizQeCAJoCg,https://s3-media4.fl.yelpcdn.com/bphoto/lfDVZ939qlnB9cWjkcFSGw/o.jpg,False,"{'address1': '22 Battery Pl', 'address2': None, 'address3': 'Fl 2 Pier A', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['22 Battery Pl', 'Fl 2 Pier A', 'New York, NY 10004']}",blacktail,$$$,4.5,206,[],https://www.yelp.com/biz/blacktail-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/17/2016,40.7044769199104,-74.0174372308775,10004
14,14,mad-dog-and-beans-mexican-cantina-new-york-2,mexican,254.2651393839829,DTKKEogIt2wQm4UULYVGug,https://s3-media3.fl.yelpcdn.com/bphoto/tdMt8_hMLtcC1yCtYemMPQ/o.jpg,False,"{'address1': '83 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['83 Pearl St', 'New York, NY 10004']}",mad dog & beans mexican cantina,$$,3.5,746,"['restaurant_reservation', 'pickup', 'delivery']",https://www.yelp.com/biz/mad-dog-and-beans-mexican-cantina-new-york-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/4/2008,40.704168,-74.010261,10004
15,15,the-capital-grille-new-york-3,seafood,508.87625117951615,ud4-0gH8YlAExTBJoADPtw,https://s3-media1.fl.yelpcdn.com/bphoto/WVNp-ApSvbIAvu7Iggbfrg/o.jpg,False,"{'address1': '120 Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10271', 'country': 'US', 'state': 'NY', 'display_address': ['120 Broadway', 'New York, NY 10271']}",the capital grille,$$$,4.0,494,[],https://www.yelp.com/biz/the-capital-grille-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/28/2009,40.7078813982786,-74.0102026698364,10271
16,16,murphys-tavern-new-york,pubs,38.114585629236686,9W-iYE7L_xHk6AY5wTUjkw,https://s3-media1.fl.yelpcdn.com/bphoto/xOh3ePL29t0HYJ97HfW_8A/o.jpg,False,"{'address1': '6 Stone St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['6 Stone St', 'New York, NY 10004']}",murphy's tavern,$$,4.0,157,"['pickup', 'delivery']",https://www.yelp.com/biz/murphys-tavern-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/9/2011,40.70389,-74.01248,10004
17,17,pisillo-italian-panini-new-york,italian,875.4526346887343,8qSOz7oTPUUCafsMOBBNEQ,https://s3-media2.fl.yelpcdn.com/bphoto/elj2AkwiV33tsNMZhP1Bnw/o.jpg,False,"{'address1': '97 Nassau St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['97 Nassau St', 'New York, NY 10038']}",pisillo italian panini,$$,4.5,487,"['pickup', 'delivery']",https://www.yelp.com/biz/pisillo-italian-panini-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,12/3/2013,40.71047,-74.00769,10038
18,18,sophies-cuban-cuisine-new-york-8,cuban,193.42846157167568,kgXNbPJcumyJ8LS83Hez8g,https://s3-media1.fl.yelpcdn.com/bphoto/3BnR-ABxdMNnZ0j9UF2hYg/o.jpg,False,"{'address1': '73 New St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['73 New St', 'New York, NY 10004']}",sophie's cuban cuisine,$$,3.5,393,"['pickup', 'delivery']",https://www.yelp.com/biz/sophies-cuban-cuisine-new-york-8?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/27/2005,40.7056891,-74.0124735,10004
19,19,financier-patisserie-stone-street-new-york-3,bakeries,291.8911108299733,0EHlocaJGVHPENeILaubUg,https://s3-media2.fl.yelpcdn.com/bphoto/09Vb_WF3S2uYXl06_zl_zw/o.jpg,False,"{'address1': '62 Stone St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['62 Stone St', 'New York, NY 10004']}",financier patisserie - stone street,$$,4.0,347,[],https://www.yelp.com/biz/financier-patisserie-stone-street-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/27/2005,40.704494,-74.0098782,10004
20,20,dig-inn-new-york-12,newamerican,116.06674914804312,o2QR6wrQgTsWAMrd1sTjOA,https://s3-media2.fl.yelpcdn.com/bphoto/QWaG_eccnvVY19VOfLhgFQ/o.jpg,False,"{'address1': '80 Broad St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['80 Broad St', 'New York, NY 10004']}",dig inn,$$,4.0,202,"['pickup', 'delivery']",https://www.yelp.com/biz/dig-inn-new-york-12?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/15/2014,40.7042826,-74.011963,10004
