,level_0,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,latitude,longitude,zipcode
10,10,namaste-indian-restaurant-glen-oaks,710.6181829547351,Fw80xvMMYDBwRTsvbOUXfg,https://s3-media3.fl.yelpcdn.com/bphoto/BDFX1rFAkaXSYAcTZmC5Cg/o.jpg,False,"{'address1': '258-11 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Glen Oaks', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['258-11 Hillside Ave', 'Glen Oaks, NY 11004']}",namaste indian restaurant,$$,4.0,89,"['delivery', 'pickup']",https://www.yelp.com/biz/namaste-indian-restaurant-glen-oaks?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.73731,-73.70979,11004
11,11,majlis-hookah-lounge-and-cafe-bellerose-3,945.3109675275664,xO18YHvpixE31AZEgo27kA,https://s3-media1.fl.yelpcdn.com/bphoto/v3jklZngrGQZa6n51FLW3Q/o.jpg,False,"{'address1': '24805 Union Tpke', 'address2': None, 'address3': '', 'city': 'Bellerose', 'zip_code': '11426', 'country': 'US', 'state': 'NY', 'display_address': ['24805 Union Tpke', 'Bellerose, NY 11426']}",majlis hookah lounge & cafe,$$,3.5,166,"['delivery', 'pickup']",https://www.yelp.com/biz/majlis-hookah-lounge-and-cafe-bellerose-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,hookah_bars,40.7425894,-73.7218979,11426
12,12,green-olive-pizza-and-falafel-new-hyde-park-2,1147.1792973087684,ZKB1_LmMEzt7A0FxJ1p32g,https://s3-media2.fl.yelpcdn.com/bphoto/YdcLzEFbbzPqRIR2RT64rQ/o.jpg,False,"{'address1': '27111 Union Tpke', 'address2': None, 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['27111 Union Tpke', 'New Hyde Park, NY 11040']}",green olive pizza and falafel,$,4.0,93,"['delivery', 'pickup']",https://www.yelp.com/biz/green-olive-pizza-and-falafel-new-hyde-park-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,kosher,40.752099,-73.703172,11040
13,13,bundu-khan-kabab-house-floral-park,552.1523219306913,oUxoBvHa9vYdtB-QncHGHw,https://s3-media2.fl.yelpcdn.com/bphoto/c1qp2pjakOexMrB7SPBCYg/o.jpg,False,"{'address1': '25319 Union Tpke', 'address2': '', 'address3': '', 'city': 'Floral Park', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['25319 Union Tpke', 'Floral Park, NY 11004']}",bundu khan kabab house,$$,3.5,114,[],https://www.yelp.com/biz/bundu-khan-kabab-house-floral-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pakistani,40.7443106,-73.7174739,11004
14,14,hillside-dosa-hutt-glen-oaks,706.3177290637854,W_7rRhz8Mlt12BSqZ8oJ4Q,https://s3-media1.fl.yelpcdn.com/bphoto/ebjFNI2EuUZjMvpiHoQV3Q/o.jpg,False,"{'address1': '258-15 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Glen Oaks', 'zip_code': '11004', 'country': 'US', 'state': 'NY', 'display_address': ['258-15 Hillside Ave', 'Glen Oaks, NY 11004']}",hillside dosa hutt,$,4.0,66,[],https://www.yelp.com/biz/hillside-dosa-hutt-glen-oaks?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.73736,-73.70954,11004
15,15,k-pacho-new-hyde-park,1419.0512913049954,hcMoQDajkgihtGgNwL7k6w,https://s3-media3.fl.yelpcdn.com/bphoto/lTpjgJmBbGf6TizrZ8NzZg/o.jpg,False,"{'address1': '1270 Union Tpke', 'address2': '', 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['1270 Union Tpke', 'New Hyde Park, NY 11040']}",k pacho,$$,3.0,516,[],https://www.yelp.com/biz/k-pacho-new-hyde-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,40.7532514,-73.6985774,11040
16,16,sagar-chinese-bellerose-bellerose,637.970768862261,M0-rlIz0GAMZ9pNz1rgxKw,https://s3-media1.fl.yelpcdn.com/bphoto/6YCm_yb3__s_5nhaz2ZREw/o.jpg,False,"{'address1': '252-05 Union Tpke', 'address2': '', 'address3': '', 'city': 'Bellerose', 'zip_code': '11426', 'country': 'US', 'state': 'NY', 'display_address': ['252-05 Union Tpke', 'Bellerose, NY 11426']}",sagar chinese - bellerose,$$,3.0,146,[],https://www.yelp.com/biz/sagar-chinese-bellerose-bellerose?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,indpak,40.7437943,-73.7184192,11426
17,17,efresh-new-hyde-park,1167.6817872294032,kq_B_t6T-XB1NafS98R4ag,https://s3-media2.fl.yelpcdn.com/bphoto/gPSV88-YLMbgLl2Zu74QNA/o.jpg,False,"{'address1': '271-16 Union Tpke', 'address2': None, 'address3': '', 'city': 'New Hyde Park', 'zip_code': '11040', 'country': 'US', 'state': 'NY', 'display_address': ['271-16 Union Tpke', 'New Hyde Park, NY 11040']}",efresh,$,3.5,120,"['delivery', 'pickup']",https://www.yelp.com/biz/efresh-new-hyde-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bubbletea,40.7519122334391,-73.702410370639,11040
18,18,madina-halal-food-queens,864.5907958384396,_FzmXKTf6kexlcLp-8RkCA,https://s3-media3.fl.yelpcdn.com/bphoto/S59TaP1j7JVUcxwQbsvfLw/o.jpg,False,"{'address1': '253-11 Hillside Ave', 'address2': '', 'address3': 'Located next to the Pizza Hut Parking Lot', 'city': 'Queens', 'zip_code': '11426', 'country': 'US', 'state': 'NY', 'display_address': ['253-11 Hillside Ave', 'Located next to the Pizza Hut Parking Lot', 'Queens, NY 11426']}",madina halal food,$,4.0,65,[],https://www.yelp.com/biz/madina-halal-food-queens?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,foodtrucks,40.7362905,-73.7144714,11426
19,19,asian-bowl-restaurant-bellerose-2,921.9188295558196,pGp158BuERc_EWwAJklJ3g,https://s3-media4.fl.yelpcdn.com/bphoto/IWWPR5S-jsDmLvFm9VHIXg/o.jpg,False,"{'address1': '24806 Union Tpke', 'address2': '', 'address3': '', 'city': 'Bellerose', 'zip_code': '11426', 'country': 'US', 'state': 'NY', 'display_address': ['24806 Union Tpke', 'Bellerose, NY 11426']}",asian bowl restaurant,$$,3.5,127,"['delivery', 'pickup']",https://www.yelp.com/biz/asian-bowl-restaurant-bellerose-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chinese,40.7422605,-73.7217219,11426
