,alias,category,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
1872,little-alley-new-york,shanghainese,1244.7383872354042,wDuf4Qz9qsC62amLZgWNJQ,https://s3-media1.fl.yelpcdn.com/bphoto/gN1FE5IopoYcNlELc7UtvA/o.jpg,False,"{'address1': '550 3rd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['550 3rd Ave', 'New York, NY 10016']}",little alley,$$,4.0,210,"['pickup', 'delivery']",https://www.yelp.com/biz/little-alley-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,5/22/2017,40.74744,-73.97728,10016
1873,pino-wine-bar-new-york,wine_bars,1268.3010392674694,5YV3zSR18X4Ja6d-TOEtyA,https://s3-media2.fl.yelpcdn.com/bphoto/lCdAh0qUd4jNt9LsWgAiOw/o.jpg,False,"{'address1': '156 E 33rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['156 E 33rd St', 'New York, NY 10016']}",pino wine bar,$$,4.5,138,[],https://www.yelp.com/biz/pino-wine-bar-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,3/21/2014,40.7452456,-73.9793704,10016
1874,dulce-cakes-and-desserts-new-york,bakeries,976.084260588185,TDEH1uOTDRiEiF7yPqj63g,https://s3-media1.fl.yelpcdn.com/bphoto/8xvhhKHidYyj9SHsndWqAw/o.jpg,False,"{'address1': '', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10178', 'country': 'US', 'state': 'NY', 'display_address': ['New York, NY 10178']}",dulce cakes & desserts,$$,5.0,28,[],https://www.yelp.com/biz/dulce-cakes-and-desserts-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,12/10/2012,40.7508375,-73.9785294,10178
1875,dos-toros-taqueria-new-york-27,mexican,299.9869167945904,VoEB81AQajTsatt56aiTLA,https://s3-media1.fl.yelpcdn.com/bphoto/Ay3gk5YhzS9KYeWOoTTHbA/o.jpg,False,"{'address1': '119 W 40th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['119 W 40th St', 'New York, NY 10018']}",dos toros taqueria,$$,3.5,68,"['pickup', 'delivery']",https://www.yelp.com/biz/dos-toros-taqueria-new-york-27?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/5/2016,40.7540578242766,-73.9859579131007,10018
1876,teds-montana-grill-new-york-new-york,steak,1111.2927341499646,7l6qQXBs5qhGfhsCZ8bIrA,https://s3-media3.fl.yelpcdn.com/bphoto/cPodS-UwpevkIcAh7tyQtA/o.jpg,False,"{'address1': '110 W 51st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10020', 'country': 'US', 'state': 'NY', 'display_address': ['110 W 51st St', 'New York, NY 10020']}",ted's montana grill - new york,$$,3.5,334,[],https://www.yelp.com/biz/teds-montana-grill-new-york-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/7/2007,40.7608132945898,-73.9802277088165,10020
1877,lenwich-new-york-27,sandwiches,882.9407216928269,1IsRBdEoRDeQz4VUJuU0FA,https://s3-media1.fl.yelpcdn.com/bphoto/QuK2NVExLJVFoXSS2B8BAg/o.jpg,False,"{'address1': '60 W 48th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['60 W 48th St', 'New York, NY 10036']}",lenwich,$$,3.5,132,"['pickup', 'delivery']",https://www.yelp.com/biz/lenwich-new-york-27?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/8/2007,40.7581,-73.98064,10036
1878,forty-four-lounge-new-york,newamerican,646.7807314076971,l54FZs2AbhrDdW2C_LDLeQ,https://s3-media1.fl.yelpcdn.com/bphoto/EeyB4E8mSNrEWGiaXM-YDw/o.jpg,False,"{'address1': '44 W 44th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['44 W 44th St', 'New York, NY 10036']}",forty four lounge,$$$,3.5,118,[],https://www.yelp.com/biz/forty-four-lounge-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,6/18/2005,40.755584,-73.982225,10036
1879,scottys-diner-new-york,diners,1090.381934176987,V3Su_F-I09Jm5p1HlI0FXg,https://s3-media2.fl.yelpcdn.com/bphoto/7mU6ztC0PQq5Z7_qjS_EJA/o.jpg,False,"{'address1': '336 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['336 Lexington Ave', 'New York, NY 10016']}",scotty's diner,$$,3.5,330,"['pickup', 'delivery']",https://www.yelp.com/biz/scottys-diner-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/21/2007,40.74979,-73.97757,10016
1880,masseria-caffé-and-bakery-new-york-3,bakeries,820.9805261556813,uAYBJgCCLvywdT6GIf2xdg,https://s3-media2.fl.yelpcdn.com/bphoto/Vo6V1WbTRL8szw4l3ZRGNg/o.jpg,False,"{'address1': '235 W 48th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['235 W 48th St', 'New York, NY 10036']}",masseria caffé & bakery,$$,4.5,34,[],https://www.yelp.com/biz/masseria-caff%C3%A9-and-bakery-new-york-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,4/24/2016,40.7605998206394,-73.9860405711449,10036
1881,bobby-vans-steakhouse-new-york-12,steak,601.9321463808939,f8arEwM7NL9wX0cGM9lV8w,https://s3-media2.fl.yelpcdn.com/bphoto/1glcra7cLu3QA9_I1-3YSw/o.jpg,False,"{'address1': '120 W 45th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['120 W 45th St', 'New York, NY 10036']}",bobby van's steakhouse,$$$,3.0,186,[],https://www.yelp.com/biz/bobby-vans-steakhouse-new-york-12?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/23/2011,40.75704,-73.98394,10036
