,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,category,oldest_review,latitude,longitude,zipcode
729,j-and-j-hot-food-and-salad-brooklyn,1591.4985703389334,FcMOR02zpWb9pr8wWM4Fww,https://s3-media2.fl.yelpcdn.com/bphoto/auts8yzSSxZ40S7s4r1lhw/o.jpg,False,"{'address1': '4916 Fort Hamilton Pkwy', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11219', 'country': 'US', 'state': 'NY', 'display_address': ['4916 Fort Hamilton Pkwy', 'Brooklyn, NY 11219']}",j & j hot food and salad,,2.0,14,[],https://www.yelp.com/biz/j-and-j-hot-food-and-salad-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,salad,9/29/2014,40.638215,-73.998329,11219
730,jade-bakery-sunset-park,908.409791315824,TaMKDbdR65S_5i6GG-_h6g,https://s3-media2.fl.yelpcdn.com/bphoto/gCUeNMntyxcVqYfmyPTUxA/o.jpg,False,"{'address1': '6223 8th Ave', 'address2': '', 'address3': '', 'city': 'Sunset Park', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6223 8th Ave', 'Sunset Park, NY 11220']}",jade bakery,$,3.0,4,[],https://www.yelp.com/biz/jade-bakery-sunset-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,6/10/2014,40.633727,-74.010987,11220
731,mexico-en-la-piel-brooklyn,117.52927690199276,tx8S4d4vcbFskHZ4yqxlJA,https://s3-media3.fl.yelpcdn.com/bphoto/uJaOMP_jhf62ycVXeV6Flw/o.jpg,False,"{'address1': '5906 5th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['5906 5th Ave', 'Brooklyn, NY 11220']}",mexico en la piel,$$,3.0,3,"['delivery', 'pickup']",https://www.yelp.com/biz/mexico-en-la-piel-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mexican,4/19/2016,40.6399401006265,-74.0157945945178,11220
732,xochil-pizzeria-sunset-park,1037.5412273179484,YDjjL0TX2Ze8tD2fTziWNg,,False,"{'address1': '4613 5th Ave', 'address2': '', 'address3': '', 'city': 'Sunset Park', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['4613 5th Ave', 'Sunset Park, NY 11220']}",xochil pizzeria,$,4.0,2,"['delivery', 'pickup']",https://www.yelp.com/biz/xochil-pizzeria-sunset-park?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,4/19/2015,40.646945,-74.008033,11220
733,famous-yemen-sweets-new-york,642.8982488518913,IAfhs3uIJHhzsAm5AukyWg,https://s3-media1.fl.yelpcdn.com/bphoto/NgCcTsXJxYR5SlitNsQS3Q/o.jpg,False,"{'address1': '6708 5th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6708 5th Ave', 'New York, NY 11220']}",famous yemen sweets,,3.5,2,[],https://www.yelp.com/biz/famous-yemen-sweets-new-york?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,bakeries,2/1/2014,40.635414,-74.020508,11220
734,pinos-pizzeria-brooklyn,591.0784508778129,GF3NjT5uA7fve0rgFIW8yQ,https://s3-media2.fl.yelpcdn.com/bphoto/UsTPMB-8VriBikBWXAZuIA/o.jpg,False,"{'address1': '5201 5th Ave', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['5201 5th Ave', 'Brooklyn, NY 11220']}",pinos pizzeria,,3.5,2,"['delivery', 'pickup']",https://www.yelp.com/biz/pinos-pizzeria-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,pizza,2/20/2014,40.6437446,-74.0114915,11220
735,subway-brooklyn-116,1685.7688534117362,nes553mdwOHo7-PTubbwgA,https://s3-media2.fl.yelpcdn.com/bphoto/kbilMuhzWEfjgxpqUNEv2g/o.jpg,False,"{'address1': '882 5th Ave', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['882 5th Ave', 'Brooklyn, NY 11232']}",subway,$,2.5,10,[],https://www.yelp.com/biz/subway-brooklyn-116?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,sandwiches,2/17/2011,40.65159,-74.00377,11232
736,zaytoon-mediteranean-american-grill-brooklyn,787.5135063490942,cqlmqNgYKdAWqPjKtblfkw,https://s3-media2.fl.yelpcdn.com/bphoto/Yee-2ojQR24G_nxGrnRpPQ/o.jpg,False,"{'address1': '6801 5th Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6801 5th Ave', 'Brooklyn, NY 11220']}",zaytoon mediteranean american grill,,3.0,4,"['delivery', 'pickup']",https://www.yelp.com/biz/zaytoon-mediteranean-american-grill-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,mediterranean,3/26/2017,40.633968,-74.020553,11220
737,twin-lins-garden-brooklyn,2289.032872989776,2zHxvlOJFdxyY77fC7mnYg,https://s3-media2.fl.yelpcdn.com/bphoto/u62b7LzmsNjKXM3T3Rna3Q/o.jpg,False,"{'address1': '854 4th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['854 4th Ave', 'Brooklyn, NY 11232']}",twin lin's garden,$,3.0,9,"['delivery', 'pickup']",https://www.yelp.com/biz/twin-lins-garden-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,chinese,3/15/2008,40.657504,-74.001576,11232
738,mikes-place-brooklyn,925.059119718642,KY2VT0NvDcJcDone9WEltw,https://s3-media3.fl.yelpcdn.com/bphoto/d-Vh5K4ev0mlKn9SU3r06w/o.jpg,False,"{'address1': '6830 3rd Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11220', 'country': 'US', 'state': 'NY', 'display_address': ['6830 3rd Ave', 'Brooklyn, NY 11220']}",mike's place,$,3.0,4,[],https://www.yelp.com/biz/mikes-place-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,diners,7/28/2014,40.63606,-74.02625,11220
