,alias,distance,id,image_url,is_closed,location,name,price,rating,review_count,transactions,url,oldest_review,latitude,longitude,zipcode
10,kafe-louverture-brooklyn,1341.3237669532816,aCQXS2tNHA5CdvRdz-jJPQ,https://s3-media3.fl.yelpcdn.com/bphoto/yjCJ24ICCoC3naQqoaAYPQ/o.jpg,False,"{'address1': '392 Halsey St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['392 Halsey St', 'Brooklyn, NY 11216']}",kafe louverture,$,5.0,85,"['delivery', 'pickup']",https://www.yelp.com/biz/kafe-louverture-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/6/2015,40.6829616,-73.9384374,11216
11,brooklyn-blend-brooklyn,1487.7736311828169,X3ToKHjzofO8EzfiHYewWg,https://s3-media4.fl.yelpcdn.com/bphoto/QoUbb5gaRIQsyUD4xyFNkw/o.jpg,False,"{'address1': '194 Tompkins Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['194 Tompkins Ave', 'Brooklyn, NY 11206']}",brooklyn blend,$$,4.5,181,"['delivery', 'pickup']",https://www.yelp.com/biz/brooklyn-blend-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,2/1/2016,40.6923440819487,-73.9458492169658,11206
12,davids-brisket-house-and-deli-brooklyn,2291.378928842633,Kg1OqaEPNFFL5FuqnALdWQ,https://s3-media2.fl.yelpcdn.com/bphoto/7Aow-04AmMEeFvs6A6jGSA/o.jpg,False,"{'address1': '533 Nostrand Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['533 Nostrand Ave', 'Brooklyn, NY 11216']}",david's brisket house and deli,$$,4.5,371,[],https://www.yelp.com/biz/davids-brisket-house-and-deli-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/8/2009,40.679434,-73.949515,11216
13,hearts-coffee-bushwick-brooklyn,146.8286924913525,4kiTp1WyohpXl-DKvi0WGQ,https://s3-media4.fl.yelpcdn.com/bphoto/eLXsYLUQ3CwtJBOLr8Hqjw/o.jpg,False,"{'address1': '1207 Broadway', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1207 Broadway', 'Brooklyn, NY 11221']}",hearts coffee bushwick,$,4.5,44,[],https://www.yelp.com/biz/hearts-coffee-bushwick-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/15/2016,40.69231,-73.92648,11221
14,docds-southern-desserts-brooklyn-2,1230.1089398406193,4krqWXQqWfTmSh0q0CShGg,https://s3-media3.fl.yelpcdn.com/bphoto/XnjtrKSeZaIMYYPOHAKW0g/o.jpg,False,"{'address1': '214 Bainbridge St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['214 Bainbridge St', 'Brooklyn, NY 11233']}",docd's southern desserts,$,4.5,129,[],https://www.yelp.com/biz/docds-southern-desserts-brooklyn-2?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,9/12/2012,40.68115,-73.928399,11233
15,daddy-greens-brooklyn,1275.8863575972796,hSgD7ERSw0DE2RMzLGFiHg,https://s3-media2.fl.yelpcdn.com/bphoto/hJqkur015AvhEGOp709ImA/o.jpg,False,"{'address1': '352 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['352 Malcolm X Blvd', 'Brooklyn, NY 11233']}",daddy greens,$,4.0,336,"['delivery', 'pickup']",https://www.yelp.com/biz/daddy-greens-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,11/1/2014,40.6807594299316,-73.9288864135742,11233
16,lady-moo-moo-ice-cream-brooklyn,1369.1595187020625,tc9OKGv_GutKsDO0BiZ3yA,https://s3-media1.fl.yelpcdn.com/bphoto/-sLoX-disbOQAW3sLYI4dA/o.jpg,False,"{'address1': '365 Chauncey St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['365 Chauncey St', 'Brooklyn, NY 11233']}",lady moo moo ice cream,$,5.0,60,[],https://www.yelp.com/biz/lady-moo-moo-ice-cream-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,8/2/2014,40.6815518229652,-73.9200956001878,11233
17,chez-alex-bedford-stuyvesant,631.1007400097833,Hc33wV6QoN6gqPqGNUPrsQ,https://s3-media2.fl.yelpcdn.com/bphoto/rWRHqwQoKNuCJs7t5sNWMA/o.jpg,False,"{'address1': '72 Ralph Ave', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['72 Ralph Ave', 'Bedford-Stuyvesant, NY 11221']}",chez alex,$,4.0,107,[],https://www.yelp.com/biz/chez-alex-bedford-stuyvesant?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,1/11/2015,40.68753,-73.9237799,11221
18,mannys-brooklyn,974.0100023083332,eClepl04uTXXWuAHMh0hjg,https://s3-media3.fl.yelpcdn.com/bphoto/qRyP8ZELZ8YUMMvW3fnsbg/o.jpg,False,"{'address1': '212 Patchen Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['212 Patchen Ave', 'Brooklyn, NY 11233']}",manny's,$$,3.5,259,"['pickup', 'delivery']",https://www.yelp.com/biz/mannys-brooklyn?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,10/5/2012,40.6835632324219,-73.9264678955078,11233
19,macdonough-café-brooklyn-3,1313.8548707088996,Xp_4TwxxapITv2upH0jUjA,https://s3-media1.fl.yelpcdn.com/bphoto/_FCOZXmPfhE1Yqkkoxf9Dg/o.jpg,False,"{'address1': '83 Saratoga Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['83 Saratoga Ave', 'Brooklyn, NY 11233']}",macdonough café,$,4.5,100,"['pickup', 'delivery']",https://www.yelp.com/biz/macdonough-caf%C3%A9-brooklyn-3?adjust_creative=j5Af8Bne_ellaYvVmLZPkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j5Af8Bne_ellaYvVmLZPkA,7/17/2015,40.683924,-73.917108,11233
